Wall time,Step,Value
1710879275.677451,5,0.0
1710879293.10521,18,2.0
1710879295.4225833,24,2.0
1710879316.647821,40,4.0
1710879317.360259,42,4.0
1710879324.7868202,45,5.0
1710879328.4052734,53,5.0
1710879335.8525498,56,6.0
1710879347.7938566,71,7.0
1710879355.2812438,74,8.0
1710879375.3531172,94,10.0
1710879384.6711762,102,11.0
1710879386.183406,106,11.0
1710879413.2149713,126,14.0
1710879424.885536,139,15.0
1710879435.4847853,150,16.0
1710879443.7566812,155,17.0
1710879444.9104376,158,17.0
1710879454.7673624,167,18.0
1710879465.224463,178,19.0
1710879473.558016,183,20.0
1710879474.3295343,185,20.0
1710879474.6681752,186,20.0
1710879482.761011,190,21.0
1710879492.0626097,198,22.0
1710879501.9413893,207,23.0
1710879504.1501737,212,23.0
1710879514.4315257,223,24.0
1710879523.1819096,229,25.0
1710879531.2262256,234,26.0
1710879543.5786736,249,27.0
1710879552.2138672,255,28.0
1710879553.956615,260,28.0
1710879562.8900852,267,29.0
1710879570.613438,271,30.0
1710879571.436435,273,30.0
1710879590.9825008,292,32.0
1710879599.0211527,297,33.0
1710879601.4756863,303,33.0
1710879609.4758956,308,34.0
1710879610.359316,310,34.0
1710879619.8069184,318,35.0
1710879630.719058,330,36.0
1710879640.5736792,339,37.0
1710879649.960918,347,38.0
1710879668.4722705,363,40.0
1710879669.919188,367,40.0
1710879679.7147777,377,41.0
1710879727.5936904,421,46.0
1710879727.9217105,422,46.0
1710879746.8096097,439,48.0
1710879753.547744,441,49.0
1710879754.047303,442,49.0
1710879755.3178318,445,49.0
1710879773.4201658,460,51.0
1710879774.659008,463,51.0
1710879775.0171251,464,51.0
1710879785.1617677,474,52.0
1710879804.1654482,491,54.0
1710879804.81006,493,54.0
1710879831.9242206,514,57.0
1710879833.1481562,517,57.0
1710879842.1782298,525,58.0
1710879850.4376717,531,59.0
1710879851.3531544,533,59.0
1710879852.4750943,536,59.0
1710879860.8115797,542,60.0
1710879862.5676825,547,60.0
1710879872.5238008,557,61.0
1710879881.2237735,563,62.0
1710879889.7220986,569,63.0
1710879891.3097122,573,63.0
1710879900.0255928,579,64.0
1710879900.7492614,581,64.0
1710879908.9944215,586,65.0
1710879909.4005315,587,65.0
1710879911.651277,593,65.0
1710879921.4305155,602,66.0
1710879940.5092494,620,68.0
1710879947.4037714,622,69.0
1710879958.245415,634,70.0
1710879967.268912,641,71.0
1710879967.6747754,642,71.0
1710879968.4029064,644,71.0
1710879969.3666773,647,71.0
1710879976.3202138,649,72.0
1710879986.9596393,661,73.0
1710879987.9420817,664,73.0
1710879995.7518048,668,74.0
1710879996.877349,671,74.0
1710879997.8327537,674,74.0
1710880005.923124,678,75.0
1710880007.76293,683,75.0
1710880015.9494114,688,76.0
1710880044.4842868,714,79.0
1710880045.952936,718,79.0
1710880053.7969854,722,80.0
1710880054.1869931,723,80.0
1710880063.1034992,730,81.0
1710880072.5875516,739,82.0
1710880074.2134783,743,82.0
1710880081.6277387,747,83.0
1710880083.66309,752,83.0
1710880091.3225873,756,84.0
1710880100.8007033,765,85.0
1710880102.4309049,769,85.0
1710880102.750044,770,85.0
1710880103.069912,771,85.0
1710880103.7117717,773,85.0
1710880110.3377478,774,86.0
1710880112.5924752,780,86.0
1710880120.6496797,785,87.0
1710880121.4347246,787,87.0
1710880129.3195896,792,88.0
1710880130.1467412,794,88.0
1710880131.6612763,798,88.0
1710880139.492484,802,89.0
1710880141.3488708,807,89.0
1710880141.668804,808,89.0
1710880141.9792733,809,89.0
1710880169.471501,832,92.0
1710880170.7446313,836,92.0
1710880211.1358197,869,96.0
1710880219.2128084,874,97.0
1710880220.0466802,876,97.0
1710880228.5045624,882,98.0
1710880231.5581403,890,98.0
1710880240.4978905,896,99.0
1710880248.0127263,900,100.0
1710880250.789536,907,100.0
1710880257.9183517,909,101.0
1710880260.2922702,915,101.0
1710880260.9688544,917,101.0
1710880278.6494825,931,103.0
1710880278.976635,932,103.0
1710880289.1832402,942,104.0
1710880296.3416047,945,105.0
1710880305.879452,954,106.0
1710880307.5534856,958,106.0
1710880308.853383,962,106.0
1710880318.3870342,971,107.0
1710880324.8492956,972,108.0
1710880327.251455,978,108.0
1710880327.5730667,979,108.0
1710880335.7753377,984,109.0
1710880346.4340827,996,110.0
1710880354.7888536,1002,111.0
1710880355.8882654,1005,111.0
1710880365.4828613,1014,112.0
1710880372.623595,1017,113.0
1710880375.597219,1025,113.0
1710880392.9162512,1037,115.0
1710880401.7195148,1044,116.0
1710880412.578747,1057,117.0
1710880420.917456,1063,118.0
1710880422.1067996,1066,118.0
1710880422.7453122,1068,118.0
1710880430.3063614,1072,119.0
1710880431.9277456,1076,119.0
1710880432.5959337,1078,119.0
1710880440.8948689,1083,120.0
1710880441.3197052,1084,120.0
1710880450.700775,1093,121.0
1710880459.1474595,1099,122.0
1710880460.629652,1103,122.0
1710880460.9609873,1104,122.0
1710880471.02672,1114,123.0
1710880478.9744513,1119,124.0
1710880490.3682363,1133,125.0
