Wall time,Step,Value
1710880045.9547484,718,45998.53125
1710880053.7989063,722,53818.45703125
1710880054.1889021,723,43454.46484375
1710880063.1053052,730,45122.1796875
1710880072.588638,739,38539.84375
1710880074.214815,743,57242.62890625
1710880081.6285286,747,36903.9140625
1710880083.665031,752,46702.4296875
1710880091.3339598,756,40375.25390625
1710880100.80184,765,37824.4921875
1710880102.432836,769,43206.6640625
1710880102.7520852,770,50832.7265625
1710880103.0718741,771,47170.08203125
1710880103.7137518,773,42168.375
1710880110.3388264,774,38396.95703125
1710880112.5944877,780,50120.7890625
1710880120.651601,785,49703.3125
1710880121.4366686,787,42435.99609375
1710880129.3207307,792,41870.171875
1710880130.148509,794,50943.25
1710880131.6630478,798,36222.6484375
1710880139.494311,802,36611.6171875
1710880141.3501499,807,42635.85546875
1710880141.6707952,808,34992.203125
1710880141.9812856,809,42913.2734375
1710880169.473442,832,34704.27734375
1710880170.7466156,836,36042.125
1710880211.1377726,869,27433.65625
1710880219.2145398,874,46076.9296875
1710880220.0484974,876,33652.00390625
1710880228.5054307,882,35703.05859375
1710880231.5598848,890,29175.955078125
1710880240.4997914,896,44152.16796875
1710880248.0136003,900,36176.390625
1710880250.791314,907,40856.4296875
1710880257.919058,909,32046.919921875
1710880260.294048,915,30211.978515625
1710880260.9706328,917,47517.30078125
1710880278.6514373,931,28785.615234375
1710880278.9786024,932,34952.58203125
1710880289.1851182,942,42189.40234375
1710880296.3426557,945,35593.39453125
1710880305.8805335,954,31212.990234375
1710880307.5553792,958,33043.421875
1710880308.8542705,962,33889.80859375
1710880318.3889918,971,31684.994140625
1710880324.8498602,972,32454.734375
1710880327.2524972,978,34370.1015625
1710880327.5749917,979,33315.1484375
1710880335.7769837,984,30573.6328125
1710880346.4359818,996,28985.43359375
1710880354.7905476,1002,30584.2265625
1710880355.8891463,1005,33271.125
1710880365.484619,1014,36230.08203125
1710880372.6247663,1017,33955.8515625
1710880375.5991735,1025,34364.75
1710880392.9180768,1037,28999.62890625
1710880401.7203617,1044,43745.03515625
1710880412.5804925,1057,29003.3046875
1710880420.9193394,1063,35614.265625
1710880422.1087775,1066,29282.142578125
1710880422.7472577,1068,27528.919921875
1710880430.3081603,1072,31436.13671875
1710880431.9295397,1076,39418.82421875
1710880432.5977,1078,28752.5859375
1710880440.896621,1083,26254.76171875
1710880441.3214242,1084,38842.984375
1710880450.7024727,1093,26782.408203125
1710880459.149327,1099,28707.40625
1710880460.6314662,1103,32497.94140625
1710880460.96286,1104,42466.0546875
1710880471.0285597,1114,35015.23046875
1710880478.976373,1119,24819.4921875
1710880490.3699148,1133,27461.00390625
1710880517.1557112,1155,29966.50390625
1710880517.564917,1156,26584.8984375
1710880518.8522105,1160,37497.14453125
1710880525.4208112,1161,27606.505859375
1710880525.856433,1162,30568.08984375
1710880544.9144733,1180,33362.17578125
1710880555.6845584,1192,30150.392578125
1710880556.0028806,1193,28654.97265625
1710880564.5336123,1199,36641.5234375
1710880573.1432438,1206,35113.7109375
1710880595.5435627,1232,25414.234375
1710880602.4831653,1234,29151.2734375
1710880612.4807515,1244,25132.470703125
1710880622.7800093,1255,22258.380859375
1710880623.7201698,1258,25221.462890625
1710880630.904087,1261,44493.5625
1710880650.5166316,1281,21710.61328125
1710880658.7161906,1287,31581.625
1710880661.4613848,1294,26274.71484375
1710880669.7996135,1300,24570.58984375
1710880679.9851358,1310,25285.48046875
1710880688.2352636,1316,23363.4609375
1710880689.3271744,1319,38502.78125
1710880698.6815534,1327,25286.25
1710880699.6346896,1330,24990.32421875
1710880707.044357,1333,25158.01953125
1710880708.2344387,1336,24525.8046875
1710880708.5583746,1337,29062.99609375
1710880727.3916767,1355,22406.310546875
1710880756.8876717,1385,28060.537109375
1710880764.2002866,1388,25972.55078125
1710880764.6209893,1389,23161.69140625
1710880765.3745801,1391,26872.994140625
1710880765.6887414,1392,24199.171875
1710880792.1250172,1414,28359.6953125
1710880793.9192102,1419,25091.2578125
1710880802.5239646,1426,25485.875
1710880803.166592,1428,22432.64453125
1710880810.8394363,1432,33280.4921875
1710880812.4433396,1436,25370.32421875
1710880820.0959685,1440,29918.833984375
1710880841.7935731,1465,27069.892578125
1710880842.1104608,1466,27072.16015625
1710880858.5643165,1477,25345.30859375
1710880867.8054535,1485,24240.06640625
1710880869.462005,1489,22653.484375
1710880870.128937,1491,20882.15234375
1710880879.8692124,1501,23538.62890625
1710880888.6145685,1508,19718.12890625
1710880906.2369568,1523,27313.185546875
1710880906.6411395,1524,22929.42578125
1710880907.6590168,1527,24407.49609375
1710880935.2813072,1551,21534.52734375
1710880935.701031,1552,27409.234375
1710880954.166531,1568,22337.28125
1710880954.5804515,1569,23390.662109375
1710880964.165476,1578,22413.87109375
1710880972.3003635,1584,26348.076171875
1710880973.9136121,1588,23402.50390625
1710880983.4933496,1597,21864.71875
1710880991.862723,1604,24047.88671875
1710880992.2424972,1605,27455.28515625
1710880993.9316204,1610,21137.46875
1710881003.4077137,1618,24749.703125
1710881012.8993382,1627,29203.765625
1710881020.8035192,1632,18733.267578125
1710881022.5268893,1637,23064.82421875
1710881029.965613,1640,24599.1875
1710881031.8013837,1645,24085.623046875
1710881039.1392899,1648,20033.50390625
1710881040.721116,1652,29823.8515625
1710881049.901682,1660,22220.60546875
1710881058.9974575,1668,27015.474609375
1710881067.7173038,1675,22963.330078125
1710881070.1494606,1682,18840.7578125
1710881079.598142,1691,23937.240234375
1710881087.4991324,1695,20409.66015625
1710881087.8903103,1696,24321.27734375
1710881088.2124686,1697,25657.6171875
1710881088.8392732,1699,18648.93359375
1710881095.9336455,1702,23778.802734375
1710881098.4220011,1709,19759.71484375
1710881110.9714222,1718,24748.79296875
1710881131.8948088,1728,20136.203125
1710881133.4843104,1732,22013.24609375
1710881134.0973492,1734,23395.01171875
1710881141.1407626,1737,18865.712890625
1710881143.074786,1742,20166.681640625
1710881144.0254662,1745,26546.2421875
1710881150.6947265,1746,20234.66015625
1710881151.128154,1747,21223.33203125
1710881170.4347568,1766,19193.2890625
1710881179.850102,1775,21628.921875
1710881182.014553,1781,18332.888671875
1710881190.837785,1788,19711.26171875
1710881191.1631057,1789,19308.94140625
1710881200.588162,1798,19170.3671875
1710881209.5742683,1805,19572.67578125
1710881219.7941318,1817,21122.8984375
1710881229.1375306,1826,19543.107421875
1710881236.8530438,1830,20168.46875
1710881246.6100583,1840,18857.310546875
1710881247.9953754,1844,24904.80859375
1710881256.2168267,1849,26906.29296875
1710881257.543521,1853,21247.265625
1710881275.0508866,1866,30503.701171875
1710881276.1519785,1869,25724.435546875
1710881284.560038,1875,18679.623046875
1710881284.940849,1876,27262.388671875
1710881285.2536573,1877,19389.076171875
1710881322.4223058,1911,20000.32421875
1710881330.895551,1917,18141.642578125
1710881343.6520734,1934,18633.171875
1710881350.6614003,1936,20204.455078125
1710881351.4749944,1938,28229.861328125
1710881359.9024038,1944,26097.982421875
1710881361.1496718,1947,17874.091796875
1710881361.8996127,1949,21208.25
1710881362.8834262,1952,19451.498046875
1710881381.0633054,1967,19543.607421875
1710881381.7035568,1969,24692.306640625
1710881398.082503,1981,18915.69921875
1710881398.4893262,1982,16667.115234375
1710881398.891853,1983,20036.576171875
1710881410.1167188,1997,19461.384765625
1710881417.9685965,2001,20260.5703125
1710881419.3038607,2005,25824.755859375
1710881428.2016077,2013,22452.482421875
1710881435.839793,2017,26698.18359375
1710881445.4657454,2027,18385.244140625
1710881446.5817,2030,26066.7109375
1710881447.537978,2033,17183.80859375
1710881455.0080345,2036,18124.3125
1710881456.726747,2041,25209.77734375
1710881475.6040943,2060,19170.19140625
1710881492.3258452,2072,20388.7109375
1710881492.7199488,2073,26874.103515625
1710881493.7425342,2076,18451.66015625
1710881494.0612807,2077,21730.162109375
1710881500.8253913,2079,18572.30859375
1710881501.757719,2081,20912.189453125
1710881503.1879659,2085,25327.00390625
1710881510.9461613,2089,23210.703125
1710881512.87158,2094,21547.931640625
1710881513.540899,2096,19502.30859375
1710881531.980973,2111,17045.0078125
1710881539.6126292,2115,24271.953125
1710881561.248078,2141,19298.875
1710881568.875974,2144,17804.375
1710881569.2625153,2145,16802.20703125
1710881570.588403,2149,19006.607421875
1710881577.5398862,2151,17508.796875
1710881579.5148585,2156,17794.6953125
1710881589.1728778,2165,22063.71484375
1710881596.5438282,2169,22339.9296875
1710881598.2522128,2173,21780.87890625
1710881599.593105,2177,17646.8515625
1710881615.6039908,2187,21855.916015625
1710881616.4608834,2189,19147.82421875
1710881617.275056,2191,20305.587890625
1710881617.6165051,2192,17862.265625
1710881625.1131241,2196,20411.75390625
1710881626.41413,2199,19570.7109375
1710881635.423019,2207,21466.744140625
1710881636.8343024,2211,17685.34375
1710881654.0640838,2225,21751.01171875
1710881655.5481482,2229,18022.265625
1710881656.20679,2231,22862.021484375
1710881664.2965603,2236,19117.0390625
1710881664.6305332,2237,18531.10546875
1710881665.3113506,2239,17309.1484375
1710881672.5767643,2242,26568.34765625
1710881673.370668,2244,15418.103515625
1710881674.1109223,2246,20140.833984375
1710881674.4323494,2247,16520.515625
1710881683.3117633,2254,21007.669921875
1710881684.311859,2257,17733.798828125
1710881692.1782987,2262,22427.52734375
1710881711.5439408,2281,17832.705078125
1710881721.3170059,2291,18061.58203125
1710881729.6256554,2297,19597.5
1710881731.6790013,2303,17334.76953125
1710881739.6274002,2307,22110.78515625
1710881740.0382435,2308,16863.943359375
1710881750.0191796,2319,22826.1953125
1710881750.3365607,2320,18034.75
1710881768.4079638,2335,18928.80859375
1710881778.355548,2345,21667.978515625
1710881787.6077926,2354,18648.98046875
1710881805.7704635,2371,21507.984375
1710881824.6886225,2389,25276.2265625
1710881825.0192769,2390,17158.34375
1710881825.6826346,2392,24384.125
1710881835.6451554,2402,22060.21875
1710881843.498378,2406,16618.63671875
1710881853.4679375,2416,16393.171875
1710881862.3925214,2424,17651.626953125
1710881862.776975,2425,24166.96875
1710881872.8023202,2436,27073.7890625
1710881881.9137611,2444,16343.98828125
1710881890.2338202,2450,18208.525390625
1710881890.622547,2451,18662.34765625
1710881891.336055,2453,17910.875
1710881891.9696555,2455,23685.818359375
1710881899.9736476,2460,21237.0625
1710881927.4660103,2485,16438.564453125
1710881927.8693652,2486,22158.064453125
1710881937.6132941,2496,17073.119140625
1710881938.3593183,2498,21188.69140625
1710881946.1182125,2502,20598.23046875
1710881946.5161488,2503,18592.298828125
1710881957.890961,2517,15857.7734375
1710881966.53544,2523,15992.572265625
1710881968.2687132,2528,23296.4765625
1710881975.2945242,2530,22875.93359375
1710881976.1061618,2532,17350.744140625
1710881976.8644679,2534,21217.75
1710881993.8786297,2547,15238.5625
1710881995.4580903,2551,16507.0859375
1710881996.1058495,2553,21065.78515625
1710882003.1439214,2556,18472.34375
1710882018.465471,2566,18795.3125
1710882028.1990473,2576,18958.98046875
1710882028.9681492,2578,18075.6640625
1710882039.436749,2590,23396.4921875
1710882039.768097,2591,15833.552734375
1710882046.2559526,2592,22929.6953125
1710882047.9351244,2596,16215.42578125
1710882049.2088752,2600,18167.97265625
1710882057.5681584,2606,18777.62890625
1710882075.9006398,2623,23446.763671875
1710882083.9846592,2629,16291.8203125
1710882084.3901112,2630,18520.6796875
1710882093.510038,2638,19723.25
1710882095.6268418,2644,16119.1220703125
1710882104.063885,2650,18051.634765625
1710882111.8678977,2655,17027.865234375
1710882133.1716197,2678,16092.13671875
1710882133.8079412,2680,20001.705078125
1710882141.599448,2685,18574.416015625
1710882143.2372446,2690,15657.9140625
1710882160.4847324,2703,20982.73046875
1710882168.9457786,2710,22380.30078125
1710882180.7245605,2725,15760.443359375
1710882197.7690473,2737,24087.97265625
1710882198.956904,2740,15563.232421875
1710882207.438052,2746,22265.244140625
1710882216.3425975,2754,16408.43359375
1710882216.8088853,2755,17206.2265625
1710882217.58528,2757,20499.73828125
1710882226.9079456,2766,16320.52734375
1710882246.8780043,2789,17641.2421875
1710882253.4005313,2790,17298.12109375
1710882253.8077424,2791,21111.9296875
1710882256.2267342,2798,21578.296875
1710882272.7877107,2809,16904.033203125
1710882273.5847638,2811,17839.3984375
1710882284.2562041,2823,16455.859375
1710882284.586257,2824,15330.12890625
1710882292.0323687,2827,18040.669921875
1710882292.8135173,2829,18332.078125
1710882293.19802,2830,24278.5078125
1710882321.902628,2859,14311.373046875
1710882338.8236394,2871,18600.193359375
1710882339.2781606,2872,16551.673828125
1710882348.06363,2880,17475.16796875
1710882348.5140643,2881,15424.673828125
1710882350.7127104,2887,17489.5078125
1710882357.9444892,2890,15533.87109375
1710882360.0583313,2896,18610.029296875
1710882367.936543,2900,23482.80078125
1710882386.2597616,2917,19276.81640625
1710882387.0374866,2919,18646.40234375
1710882387.4316113,2920,23189.64453125
1710882387.7487578,2921,16288.3125
1710882397.7381394,2932,16694.736328125
1710882416.983974,2950,15888.14453125
1710882435.7185392,2967,16047.5947265625
1710882444.3240025,2974,18404.283203125
1710882444.6380942,2975,16348.7890625
1710882445.591389,2978,23261.90234375
1710882463.8155866,2994,18700.671875
1710882471.388814,2998,19420.728515625
1710882473.2029355,3003,15732.00390625
1710882473.8358681,3005,22932.294921875
1710882480.8365483,3007,16921.57421875
1710882481.6259322,3009,16944.5703125
1710882482.3378026,3011,14777.38671875
1710882489.7045116,3015,19363.08984375
1710882490.1928992,3016,14617.82421875
1710882500.642089,3027,20550.53125
1710882501.7150435,3030,18407.19921875
1710882510.907337,3038,15624.646484375
1710882511.875745,3041,16644.64453125
1710882518.425632,3042,18724.54296875
1710882521.429745,3050,17292.583984375
1710882539.1548972,3065,20040.919921875
1710882546.5836744,3069,20371.2578125
1710882547.4218123,3071,18229.5625
1710882558.8242755,3086,15248.7216796875
1710882575.3985991,3099,15565.3291015625
1710882596.4401264,3122,14873.11328125
1710882614.6616445,3137,17056.021484375
1710882614.9720187,3138,17096.6640625
1710882623.245011,3144,16459.5078125
1710882623.662551,3145,18022.337890625
1710882631.6169543,3150,19956.525390625
1710882633.592423,3155,14915.1083984375
1710882641.0397146,3159,16687.57421875
1710882641.939287,3161,16736.8515625
1710882659.7867043,3177,14833.052734375
1710882669.8642898,3188,13610.5419921875
1710882678.4431286,3195,15048.265625
1710882678.8441272,3196,15491.3896484375
1710882681.394335,3203,23254.314453125
1710882688.9445355,3206,20713.16015625
1710882709.757804,3230,14889.45703125
1710882717.0828955,3233,15555.0830078125
1710882725.5619645,3240,18573.388671875
1710882726.8580122,3243,18558.6640625
1710882727.2668116,3244,16213.029296875
1710882727.9266005,3246,18668.6328125
1710882728.2489986,3247,14806.994140625
1710882754.2309947,3267,16533.017578125
1710882756.1710198,3272,18465.291015625
1710882765.6039734,3281,20245.625
1710882766.2514577,3283,17340.494140625
1710882772.9520683,3285,17875.96484375
1710882775.6468427,3292,20155.142578125
1710882792.9729862,3305,15172.5615234375
1710882793.7516217,3307,15539.224609375
1710882802.0190253,3313,19381.33984375
1710882810.7607832,3321,14898.1943359375
1710882813.0176804,3327,16486.251953125
1710882813.3395627,3328,16285.41015625
1710882821.4708228,3333,16656.55078125
1710882823.1900408,3338,18111.025390625
1710882831.7023373,3345,15913.5380859375
1710882848.296485,3357,18042.11328125
1710882860.9026778,3374,22922.484375
1710882867.7855756,3376,16175.541015625
1710882868.5953994,3378,20396.3828125
1710882869.6766737,3381,16563.64453125
1710882877.4024782,3386,15176.310546875
1710882895.7911327,3403,19581.22265625
1710882897.5812638,3408,16801.890625
1710882927.415621,3430,16339.3349609375
1710882928.5889733,3433,18391.42578125
1710882935.8680856,3438,15088.3154296875
1710882938.4436202,3445,14901.4833984375
1710882945.7801116,3449,20603.517578125
1710882946.5680094,3451,14783.0283203125
1710882954.9007552,3457,15240.2822265625
1710882955.2944477,3458,15767.150390625
1710882957.3905122,3464,23723.443359375
1710882966.4095585,3471,19015.3984375
1710882974.590821,3477,16369.5458984375
1710882975.62175,3480,19938.16796875
1710882984.17024,3486,17524.1015625
1710882994.0206552,3497,15414.923828125
1710882994.641769,3499,23149.30078125
1710883004.0628006,3509,21335.806640625
1710883011.5161922,3512,20652.1640625
1710883012.3128746,3514,20422.763671875
1710883019.8501046,3519,14169.4951171875
1710883031.991438,3535,17138.52734375
1710883038.75641,3537,15527.1005859375
1710883041.1025114,3543,18543.08203125
1710883048.6642957,3547,13656.171875
1710883049.4588597,3549,19642.53125
1710883060.3745437,3563,14484.294921875
1710883077.0493274,3575,16210.9638671875
1710883078.8938997,3580,14525.3408203125
1710883095.6508827,3592,15486.890625
1710883096.0450804,3593,14297.5712890625
1710883098.177404,3599,21022.849609375
1710883104.6635215,3600,14932.462890625
1710883116.1765146,3614,15013.6923828125
1710883123.5864294,3618,14486.8203125
1710883124.4597816,3620,13544.189453125
1710883125.2855496,3622,16280.806640625
1710883126.258096,3625,15453.337890625
1710883133.5520642,3628,15027.3349609375
1710883151.77576,3645,13862.35546875
1710883162.2759855,3656,19839.330078125
1710883162.6757874,3657,17972.861328125
1710883170.8636155,3663,14646.20703125
1710883173.4678833,3670,15679.8984375
1710883200.4265277,3694,17374.12109375
1710883208.831745,3700,16087.400390625
1710883209.6158442,3702,14845.9443359375
1710883229.5568256,3723,13124.517578125
1710883236.9646459,3726,15726.2734375
1710883238.6092982,3730,15982.23046875
1710883238.9233596,3731,16081.94921875
1710883239.2380142,3732,19670.541015625
1710883247.519808,3738,14430.8349609375
1710883248.5398505,3741,17699.7109375
1710883249.2111351,3743,14355.3125
1710883258.6521845,3752,14919.9052734375
1710883267.2043226,3759,13658.185546875
1710883274.8714294,3764,14352.935546875
1710883283.7672474,3772,16003.833984375
1710883285.24374,3776,17766.814453125
1710883292.771769,3780,15911.7685546875
1710883304.083564,3793,18006.462890625
1710883304.6866522,3795,17464.859375
1710883311.662511,3798,14740.443359375
1710883322.207793,3810,14517.8779296875
1710883323.6106777,3814,14314.5888671875
1710883331.8198764,3819,13396.919921875
1710883332.5370524,3821,16331.53125
1710883341.9245489,3831,14997.314453125
1710883342.5503602,3833,15077.25
1710883349.2891388,3835,14046.8486328125
1710883360.5227828,3848,15664.0537109375
1710883378.7775152,3864,14716.4638671875
1710883380.4119751,3869,15924.0849609375
1710883389.3234408,3876,15842.126953125
1710883417.0759878,3901,15823.0830078125
1710883417.383005,3902,14901.5478515625
1710883417.6838856,3903,19104.875
